n1,n2,n3,FG_solve_time,L2_fg
13,4,4,0.0575958333333333,0.00301179758549094
21,6,6,0.0900131666666667,0.000314838579936693
37,10,10,0.633353708333333,3.35989128328274e-05
69,18,18,5.7457105,3.64260808520065e-06
