n1,n2,n3,TT_solve_time,K_compression,f_compression,u_compression
5,3,7,0.252181833333333,3.1056338028169,1.10526315789474,0.875
9,5,13,0.324941083333333,122.985148514851,4.33333333333333,1.53370786516854
17,9,25,0.294385041666667,2710.71007081039,14.6648044692737,3.41796875
33,17,49,0.760108458333333,49699.0450890293,61.4150943396226,8.76683339746056
