# Density	Temp(K)	MD_Energy(eV)	TT_r1_E(eV)	TT_r2_E(eV)	MD_Press(GPa)	TT_r1_P(GPa)	TT_r2_P(GPa)
0.800	24.9	-1616.484483	-1617.479304	-1616.686274	15.4232	15.3896	15.4508
0.800	49.9	-1614.720001	-1615.809358	-1614.890768	15.5206	15.5053	15.5558
0.800	75.1	-1612.960777	-1613.551710	-1613.137398	15.6247	15.6249	15.6621
0.800	100.1	-1611.228820	-1611.243477	-1611.406516	15.7300	15.7406	15.7672
0.800	124.9	-1609.526503	-1609.011786	-1609.690469	15.8356	15.8534	15.8707
0.800	149.3	-1607.867321	-1606.873170	-1607.991132	15.9378	15.9636	15.9725
0.800	174.9	-1606.140183	-1604.689704	-1606.226485	16.0464	16.0786	16.0790
0.800	200.0	-1604.443604	-1602.589201	-1604.476032	16.1521	16.1914	16.1837
0.810	25.0	-1632.977307	-1633.976035	-1633.220212	13.3805	13.3516	13.4117
0.810	49.8	-1631.216217	-1632.204096	-1631.423222	13.4718	13.4551	13.5109
0.810	75.1	-1629.440352	-1629.886304	-1629.664417	13.5695	13.5622	13.6108
0.810	100.0	-1627.719310	-1627.582758	-1627.933483	13.6678	13.6655	13.7077
0.810	125.2	-1625.980725	-1625.319608	-1626.193794	13.7686	13.7692	13.8051
0.810	149.6	-1624.315075	-1623.191025	-1624.511782	13.8632	13.8695	13.8992
0.810	175.9	-1622.529047	-1620.953605	-1622.684715	13.9653	13.9776	14.0003
0.810	199.5	-1620.934336	-1618.989875	-1621.046854	14.0596	14.0747	14.0911
0.820	25.0	-1647.717839	-1648.701503	-1647.921251	11.7031	11.6827	11.7456
0.820	50.2	-1645.911721	-1646.785898	-1646.147915	11.7888	11.7841	11.8394
0.820	75.0	-1644.153585	-1644.472284	-1644.429082	11.8763	11.8827	11.9297
0.820	99.5	-1642.459782	-1642.204499	-1642.750448	11.9636	11.9774	12.0174
0.820	124.8	-1640.719806	-1639.940644	-1641.004409	12.0521	12.0735	12.1069
0.820	149.8	-1639.008503	-1637.762929	-1639.276336	12.1420	12.1683	12.1953
0.820	174.7	-1637.306749	-1635.656649	-1637.553742	12.2319	12.2619	12.2829
0.820	200.0	-1635.578474	-1633.552397	-1635.797404	12.3197	12.3573	12.3722
