# Density	Temp(K)	MD_Energy(eV)	TT_r1_E(eV)	TT_r2_E(eV)	MD_Press(GPa)	TT_r1_P(GPa)	TT_r2_P(GPa)
0.980	24.9	-900.607137	-900.932238	-900.932238	10.0924	10.0213	10.0933
0.980	49.8	-898.961384	-899.078110	-899.078110	10.2859	10.2714	10.3083
0.980	74.8	-897.314667	-897.368086	-897.368086	10.4788	10.4862	10.4662
0.980	100.0	-895.654940	-895.686247	-895.686247	10.6727	10.6923	10.5008
0.980	125.0	-894.005323	-894.019499	-894.019499	10.8650	10.8961	10.6511
0.980	150.2	-892.350520	-892.346300	-892.346300	11.0574	11.1004	10.9898
0.980	174.3	-890.766952	-890.746635	-890.746635	11.2416	11.2954	11.2551
0.980	200.4	-889.048057	-889.014625	-889.014625	11.4422	11.5061	11.5120
0.990	24.8	-904.492226	-904.745041	-904.745041	4.5990	4.5449	4.5954
0.990	49.9	-902.838836	-902.913398	-902.913398	4.7946	4.7895	4.6307
0.990	75.0	-901.184437	-901.218288	-901.218288	4.9897	5.0005	5.0205
0.990	100.1	-899.534571	-899.547091	-899.547091	5.1830	5.2058	5.1950
0.990	125.4	-897.875235	-897.864773	-897.864773	5.3768	5.4123	5.3696
0.990	149.9	-896.262552	-896.239687	-896.239687	5.5648	5.6114	5.5676
0.990	175.2	-894.600258	-894.563691	-894.563691	5.7576	5.8162	5.7868
0.990	200.4	-892.939831	-892.897067	-892.897067	5.9510	6.0194	6.0367
1.000	25.0	-905.611660	-905.795141	-905.795141	-0.0450	-0.0821	-0.0320
1.000	50.2	-903.952554	-903.997159	-903.997159	0.1524	0.1555	0.1724
1.000	75.4	-902.290708	-902.306722	-902.306722	0.3500	0.3660	0.4279
1.000	100.2	-900.656629	-900.654961	-900.654961	0.5437	0.5705	0.5819
1.000	125.2	-899.016862	-898.999176	-898.999176	0.7381	0.7752	0.7566
1.000	150.1	-897.373717	-897.343602	-897.343602	0.9317	0.9793	0.9395
1.000	175.1	-895.738725	-895.693095	-895.693095	1.1241	1.1823	1.1422
1.000	200.5	-894.071485	-894.015927	-894.015927	1.3187	1.3881	1.3702
