# Pressure(GPa)	MD_Transition_T(K)	TTCI_Transition_T(K)
0.000	480.0	460.0
0.100	480.0	440.0
0.200	480.0	440.0
0.300	460.0	440.0
0.400	460.0	440.0
0.500	440.0	420.0
0.600	440.0	420.0
0.700	440.0	420.0
0.800	420.0	420.0
0.900	420.0	400.0
1.000	420.0	400.0
1.100	400.0	400.0
1.200	400.0	380.0
1.300	380.0	380.0
1.400	380.0	380.0
1.500	380.0	380.0
1.600	360.0	360.0
1.700	360.0	360.0
1.800	360.0	360.0
1.900	340.0	340.0
2.000	340.0	340.0
