n1,n2,n3,TT_solve_time,K_compression,f_compression,u_compression
13,4,4,0.227920833333333,10.6666666666667,1.71428571428571,4
21,6,6,0.283887625,93.5064935064935,2.85714285714286,3.87096774193548
37,10,10,0.5143705,1016.47058823529,6,5.1063829787234
69,18,18,1.0183755,12985.2741061755,21.1034482758621,6.8
